#,Unit Type Name,Product Type Name
1,Multistory Apartment,Residencial
2,Villa,Residencial
3,Plot,Residencial
4,Shop,Commercial
5,Office,Commercial
6,LAND,Agricultural
7,Builder Floor,Residencial
8,Independent House,Residencial
9,Studio Apartment,Residencial
10,Pent House,Residencial
11, Land,Commercial
12,Showroom,Commercial
13,Warehouse/ Godown,Commercial
14,Industrial land,Commercial
15,Industrial Building,Commercial
16,Farm House,Agricultural
17,Agricultural Land,Agricultural
18,SCO Plot,Commercial
